zpid,price,price_sqft,bedrooms,bathrooms,livingArea,yearBuilt,rentZestimate,rentZestimate_sqft,MeanPricesnearbyHomes,MeanbathroomsnerabyHomes,MeanbedroomsnerabyHomes,MeanlivingAreanerabyHomes,SCHOOLSMeandistance,pageViewCount,favoriteCount,daysOnZillow,dia_semana,ADULTCOM,ANNUALDUES_FEE,WAITINGPERIOD,longitude,latitude,predictions,predictions_LASSO,predictions_ML,D_Safe_Conv_Location,D_Recently_Renovated,D_Ready_To_Move,D_Requires_Repairs,D_Special_Features,D_Not_Free_Litigation,D_More_Than_One_Unit,D_Investors,D_Airbnb,Diff_Prices,Diff_p,VPN,amount,profit_all,ht,Labels,model,task_main_id
82075746,5250000,619.6883852691218,8.0,11.0,8472,1921,3447,0.4068696883852691,2044012.5,2.2142857142857144,2.1666666666666665,2346.8571428571427,2.033333333333333,4839,172,462,4,0,0,0,-81.8031,24.558332,23557552.76992603,25862366.708339166,20260572.796603084,0,1,1,0,1,0,0,0,0,-20612366.70833917,-392.61650873026986,26433.94945995541,17952584.49835004,341.95399044476267,5,2,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
359220376,9950000,916.8816807961666,6.0,11.0,10852,1967,5130,0.47272392185772205,1955384.875,1.6666666666666667,2.8333333333333335,2708.5,1.45,1052,19,597,2,0,0,0,-81.06767,24.719015,16920007.66559731,25995269.380410716,16163857.045840029,1,0,0,0,0,0,0,0,1,-16045269.380410716,-161.2589887478464,39340.34253831484,13988889.617861059,140.59185545589003,1,2,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45832211,8900000,1483.3333333333333,6.0,8.0,6000,1976,5839,0.9731666666666666,10300950.0,3.75,2.875,3077.5,20.7,573,14,8,3,0,0,0,-80.275696,25.320251,21242556.941604096,21557653.295407653,22203300.74834655,1,1,1,0,0,0,0,0,1,-12657653.295407653,-142.22082354390622,44777.43861232365,11045741.4459639,124.10945444903258,1,2,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
201647366,14995000,2037.9179124762163,7.0,8.0,7358,2025,7754,1.0538189725468878,12676625.0,3.9375,3.5,4471.5,19.6,768,15,30,2,0,0,0,-80.29407,25.312063,25854413.53410977,24924330.280901674,26398944.528181225,1,0,0,0,0,0,0,1,0,-9929330.280901674,-66.21760774192514,59462.96609007667,8683114.568952013,57.90673270391472,1,2,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
54143575,22500000,2514.247401944351,8.0,14.0,8949,2005,5921,0.661638171862778,1902923.625,2.857142857142857,2.857142857142857,2056.714285714286,7.25,4132,156,717,1,0,0,0,-80.501396,25.03645,26234013.426421613,29458517.682501283,21719633.69542095,0,0,0,1,0,0,1,0,1,-6958517.682501283,-30.926745255561258,45406.27059831621,6087965.086724853,27.057622607666016,1,2,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
201654116,5480000,1447.4379292128897,5.0,6.0,3786,2026,7896,2.085578446909667,8039762.5,3.9375,4.0,2629.875,20.4,1505,49,28,4,0,0,0,-80.27558,25.315432,11427802.18007717,12102010.894863045,11384285.291231329,0,0,0,0,0,0,1,0,0,-6622010.894863045,-120.8396148697636,60551.919041429624,5806563.417811922,105.95918645642193,1,2,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45833599,9975000,1828.9328932893288,5.0,6.0,5454,2000,8724,1.5995599559955995,7446532.875,4.375,4.571428571428571,4038.285714285714,19.1,1033,22,48,5,0,0,0,-80.287506,25.29969,15109421.953344012,15370491.083769185,16030183.081174606,0,0,0,0,0,0,0,1,0,-5395491.0837691855,-54.0901361781372,66901.58836340325,4744253.434151744,47.56143793635833,1,2,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
306094840,5975000,1552.7546777546777,5.0,5.0,3848,2019,7349,1.9098232848232848,6637412.5,3.9375,3.125,3089.5,19.450000000000003,840,7,20,5,0,0,0,-80.29342,25.309633,9908295.838312611,11019368.028130263,10740727.191527238,0,1,1,1,1,0,1,1,1,-5044368.028130263,-84.42456950845629,56357.149573893905,4430868.046653749,74.15678739169455,1,2,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45832127,19675022,2772.6919391206316,5.0,7.0,7096,1996,6314,0.8897970687711386,13903954.0,4.375,3.875,4121.375,20.55,952,14,58,2,0,0,0,-80.27485,25.317604,27716523.0017867,24426987.050564963,28898624.878729686,0,0,0,0,0,0,0,0,0,-4751965.050564963,-24.152273123582596,48420.062921426885,4170524.6411825884,21.19705198389404,1,2,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
99351387,9950000,1635.7060660858128,5.0,8.0,6083,2009,7734,1.2714121321716259,5613337.5,5.1875,5.125,4630.0,7.25,1330,47,405,5,0,0,0,-80.46977,25.068857,15645969.322897015,14681906.674475065,15152666.822834311,0,0,0,0,0,0,0,0,0,-4731906.6744750645,-47.556850999749386,59309.59243495652,4161241.0011195233,41.82151759919119,1,2,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
